country_code,.cluster
ALB,1
DZA,1
AGO,1
ARG,1
ARM,2
AUS,2
AUT,2
AZE,2
BHR,2
BGD,1
BEL,2
BEN,1
BOL,1
BIH,2
BWA,1
BRA,1
BRN,2
BGR,2
BFA,1
BDI,1
KHM,1
CMR,1
CAN,2
CPV,1
TCD,1
CHL,2
CHN,2
COL,1
COD,1
CRI,2
CIV,1
HRV,2
CYP,2
CZE,2
DNK,2
DOM,1
ECU,1
EGY,1
SLV,1
EST,2
SWZ,1
ETH,1
FIN,2
FRA,2
GMB,1
GEO,2
DEU,2
GHA,1
GRC,2
GTM,1
GIN,1
HTI,1
HND,1
HUN,2
ISL,2
IND,1
IDN,2
IRN,2
IRL,2
ISR,2
ITA,2
JAM,1
JPN,2
JOR,1
KAZ,2
KEN,1
KOR,2
KWT,2
LAO,1
LVA,2
LBN,1
LSO,1
LBR,1
LTU,2
LUX,2
MKD,2
MWI,1
MYS,2
MLI,1
MLT,2
MRT,1
MUS,2
MEX,1
MDA,2
MNG,2
MNE,2
MAR,1
MOZ,1
NAM,1
NPL,1
NLD,2
NZL,2
NIC,1
NGA,1
NOR,2
OMN,2
PAK,1
PAN,1
PRY,1
PER,1
PHL,1
POL,2
PRT,2
QAT,2
ROU,2
RUS,2
RWA,1
SAU,2
SEN,1
SRB,2
SYC,2
SLE,1
SGP,2
SVK,2
SVN,2
ZAF,1
ESP,2
LKA,2
SWE,2
CHE,2
TJK,1
TZA,1
THA,2
TTO,1
TUN,2
TUR,2
UGA,1
UKR,2
ARE,2
GBR,2
USA,2
URY,1
VEN,1
VNM,2
YEM,1
ZMB,1
ZWE,1
